,Mean cA1,Std cA1,Min cA1,Max cA1,TWE cA1,IWE cA1,Mean cD1,Std cD1,Min cD1,Max cD1,TWE cD1,IWE cD1,Mean cD2,Std cD2,Min cD2,Max cD2,TWE cD2,IWE cD2,Mean cD3,Std cD3,Min cD3,Max cD3,TWE cD3,IWE cD3,Mean cD4,Std cD4,Min cD4,Max cD4,TWE cD4,IWE cD4,Mean cD5,Std cD5,Min cD5,Max cD5,TWE cD5,IWE cD5,Mean cD6,Std cD6,Min cD6,Max cD6,TWE cD6,IWE cD6,Mean cD7,Std cD7,Min cD7,Max cD7,TWE cD7,IWE cD7,Mean cD8,Std cD8,Min cD8,Max cD8,TWE cD8,"IWE cD8,
14,3.796351890105328,7.447626358910746,-6.4300047323030824,14.31015994184657,1.6073947388572705,1.8356699551633042,0.35837057955128127,1.6582476005289628,-2.602072687184657,3.8355895284911075,0.47515523357305256,0.36282158090442934,0.22785527851445334,1.0780189763713388,-1.0992030455045854,3.0588036935115124,0.24882636158452845,0.05470068889648063,-0.6988612483434106,4.986601437764906,-8.535938018808274,8.161379464909194,1.0932319422929588,1.3965699468359396,-0.23982981561846528,4.063898852487308,-7.458723061199594,7.9379118455209206,1.3515058225918177,1.1941739631437536,-0.03792562186827967,2.2997385707422726,-5.079829830005629,4.776929387994024,0.7547105696759068,0.723347305247331,0.007618845448534351,0.8053923754357258,-2.5636200019695745,2.013383437712621,-0.25838726305395343,-0.1880334617142752,0.0007634068594018807,0.21553825222219816,-1.097727097360552,0.7427564706977601,-1.325202564784215,-1.332991926325534,0.0002714289243782846,0.05886257181198975,-0.25304311200257346,0.36592169077590897,-2.384439755922988,-2.460328274198627
15,-0.12335393411102367,7.496155033069479,-19.269992670405745,6.307938027180104,1.3629110791752423,1.3511584962709478,0.1267902243708151,2.082850451272803,-4.122442692732763,4.963988938574608,0.8038000286281416,0.44432246236327916,0.18586746633107448,2.365747935315315,-4.210039005655673,4.082859094343116,0.9376613632603548,0.6280245602860066,-0.21510319065320463,3.7509755018653257,-7.100375603371053,5.8215371915504255,1.2009528020825524,1.1062002213721154,-0.11349362255762167,3.0379192062337976,-6.295014371092945,5.82408378189106,1.0675078503139006,0.9491323532991299,-0.006717197220623663,1.3497200617097371,-3.7246284792758266,2.813323469595885,0.24006837277133403,0.24718913580216725,0.005742341242261676,0.3981335767034255,-1.6831190490067665,1.3370733935814718,-0.8129668399591558,-0.8075275617855031,0.00015284166345555568,0.1052390041363123,-0.5606315824596046,0.317556376103334,-1.9474420745580714,-1.9562426133575386,-0.0003190301055428547,0.02066296351412733,-0.14338183202402202,0.09159474825985028,-3.3487009197734374,-3.369553030774076
16,-5.5622093534136745,0.5042340903276483,-6.435799201257763,-4.39941475444754,0.4432570576134828,1.4331767792266332,-0.14930656757559027,0.7581615067771819,-1.3708474430516147,1.2546864818695502,-0.28615846530666106,-0.42600607650072875,0.006459808006745615,0.9122855642709261,-1.6147273089438743,1.7875590038268783,0.007990166945337362,-0.2208019165854286,0.026790342708727974,0.9506165538549904,-1.6128190455499578,1.6846103028447545,0.15265632808297794,-0.0761628686805353,0.01756079174884765,0.6478386117025104,-1.97587660355839,1.1187399437041605,-0.4057782470680338,-0.3769431954661987,-0.004877167758061564,0.4290503872633254,-1.2641873316644339,1.1516113951649494,-0.7140004587903326,-0.7355665627077086,-0.00162749393303703,0.15120096687700416,-0.4936510901976877,0.6533286057171434,-1.696018820334358,-1.6409581721114952,-0.0006661838724621408,0.043118751813087296,-0.1994004690394874,0.20771604313468645,-2.756640704653882,-2.730656038236622,-0.0006513495518199086,0.01869086631642986,-0.07113286046991024,0.09141290554457253,-3.372464940829567,-3.456431346974546
17,-4.462456541548031,0.6620852875395584,-5.486845966430156,-2.934748777916982,0.6666387475761665,1.2420284013835974,-0.004707891248510552,0.22416108554343223,-0.40780587635102644,0.35347325849476924,-1.1753579176899205,-1.3880880377187605,-0.06366726383032813,0.2323100516142964,-0.6087407417226898,0.5066668489491213,-1.0650954020899426,-1.3910545259552873,-0.023347902200026447,0.22233502771955635,-0.5124069099488902,0.4209638890382166,-1.1605725858346885,-1.3326702766972216,-0.013349323540340097,0.09944253616462938,-0.22887951742250523,0.1751088729108552,-1.8377141712147638,-2.0003923264757892,-0.002375312748582735,0.12049409889314232,-0.3328715198998282,0.29476120996479954,-1.714735684914435,-1.8388634485393607,0.0018775779672932178,0.099742336225342,-0.3867417902920574,0.3150271343336287,-1.9694712312519411,-2.0028009140744363,-0.0007216953406717385,0.04598616243624877,-0.2402568615643341,0.15651053730127734,-2.6977833804964524,-2.675387419746267,-0.00043974715018371615,0.022295636808422416,-0.08892073670820384,0.09009304673727743,-3.1785628228834435,-3.3034323082333796
18,-6.716585826232066,1.6851076498836197,-8.088317220385363,-1.487598471123386,0.8207010685655646,1.6212135114502075,-0.2191158187024566,0.7445032233724115,-1.4635418264200297,1.132063606368934,-0.06548905412881226,-0.3163308270351787,-0.026632102226055037,0.3720768520378206,-0.8752497734733095,0.6395497202087362,-0.7163443519378124,-1.0400541766938816,0.03163641850168561,0.8815205416745394,-1.22852372575718,1.7956998162723274,0.0404052878431795,-0.21526757873330912,-0.017371272955766955,0.37755671145846015,-0.9741999127357729,0.5038655388938991,-0.6770976386654498,-0.8498160170556956,0.013723260842092478,0.33594532189079335,-0.8742326325167347,0.6954854989358553,-0.900143095683907,-0.9517023457861503,-0.001180924164897605,0.21270030508362736,-0.8552205291347732,0.7005155364160678,-1.3986372844527015,-1.3515825270523036,-0.003551725824469799,0.09631078192005357,-0.35126709774664555,0.3535754450914975,-1.9220139909180656,-2.032202758121916,-0.0002396282740768116,0.0341167589687618,-0.1702268647181524,0.17147890422170117,-2.865360651837143,-2.9343477656183
19,-1.1505945420658004,5.376150173630555,-9.76414473279861,7.969116144938098,1.3344355301498836,1.3587403581853492,0.582835174695853,1.4640291483669206,-1.5585478979168108,4.127689846852827,0.5820305205290325,0.34057259712539806,0.018050044043358228,0.7912671410107702,-1.9173636091554502,1.537694863148815,-0.0137330619588784,-0.3211363354574376,0.14242327040917008,1.1331525325910354,-1.7057002993422044,2.341947221123353,0.18291039460886335,0.08429262569658665,0.09216566909137225,1.1615668024107977,-2.5852048023044283,2.586986618688002,0.224906434459301,0.09084350655718487,-0.006394951661533535,1.1563433230463522,-2.5010342722108234,3.3334806574488804,0.29925923366154183,0.1252311460421463,-0.011833795636807422,1.0421365164247307,-3.7353123230176988,3.275123178869333,0.08810673884288828,0.035616584974287956,0.007487147770186548,0.4145737577904856,-1.9697073449929192,1.5811111842686147,-0.9366081382911277,-0.7651309364657416,0.00020155407802337734,0.0778446000583912,-0.3188265892599537,0.52683785107135,-2.08940952148052,-2.217610574539732
20,-1.1094305188240394,0.4915480176825789,-2.5291561706625134,-0.598228037725476,-0.37651584792359194,-0.07237103256592779,-0.039582459477755176,0.34002054339847604,-0.5643289259170547,0.7775362202083246,-0.8051863282770275,-1.1022686578706264,-0.09362573962238302,0.14748100867564165,-0.3025462499769143,0.33284745993736187,-1.4223524299258774,-1.5890834256453121,0.005969451853602011,0.9167872495713396,-1.4606345485361172,1.5115120768323205,0.1888920049977256,-0.1205895525222774,0.030877671661326923,0.8063656946388862,-1.5077559104862959,1.9520518833072003,0.019858697348406545,-0.19098058024202708,0.1111794319745897,1.1873541783263275,-3.089735186061351,3.3192009775839435,0.15021048023083858,0.11730135919195372,-0.014799344014732593,0.793196859781238,-2.633691346311784,3.9257672657057254,-0.18651915486675086,-0.20661569318863765,0.0035553073378426854,0.5666965225462814,-2.326426522033151,2.0855797915213827,-0.6120900640650484,-0.4933053982366297,-0.0023431167965755474,0.10296088946573184,-0.4677848981812768,0.5485261995553942,-1.8851330010900744,-1.9746081209198783
21,-0.44163508630606907,0.8500127856252129,-1.4543794285554295,0.6873696559964302,-0.36816809596810873,-0.19533574511339288,0.06676799610565066,0.1983035418137267,-0.23490869044462717,0.39633862194202774,-1.3165812866694495,-1.4409253173427352,0.012170750640466186,0.1278558950127942,-0.19819080863296074,0.3471586900339951,-1.6618731593450808,-1.8561181245473803,-0.008445861597517666,0.4989558739933317,-0.9005214840673006,0.8650684649385613,-0.38935569621055877,-0.6496142332544408,-0.008403183006504708,0.2518114700403259,-0.5335098532650786,0.6035760893146478,-1.0109866630002742,-1.2001320405666387,0.001641359201467282,0.1595392385972958,-0.36978226573857975,0.35626058508609026,-1.49658399138788,-1.594421662924675,-0.0018305320697418299,0.116862327569069,-0.4349121503485879,0.4726299828535271,-1.8155401902428194,-1.873390515058297,0.01978499062313641,0.24223842361674522,-1.175080578028594,1.1921680522826077,-1.1460475991247596,-1.229103707750256,-0.003032598027798402,0.12501612416377156,-0.7929945917995158,0.517625992826718,-1.8615130014387005,-1.8058430980998839
22,-0.9959323871700128,0.3985995484117149,-1.884277785212225,-0.47048723239264917,-0.2588503650289349,-0.03383167661768601,0.02610534375533657,0.2866495349402099,-0.47100480999892796,0.4099973685588645,-0.9542259673965019,-1.2138804386303135,0.04896999695845816,0.22361334519382586,-0.4146277024217221,0.5808858142446136,-1.141369985991314,-1.4246240926380822,-0.008279236726036827,0.481714180136106,-0.7162476616430326,0.7777939940419185,-0.4302739450643897,-0.6842417706022729,-0.005445190233728066,0.3146779463578004,-0.8090935132965669,0.3971123502258016,-0.8411765144497739,-1.0061058467197712,-0.04243140278548401,0.2594870484841815,-0.8963075074059423,0.5440544224926519,-1.0802830782650403,-1.1647904371253244,-0.029671906948456093,0.3522017697763742,-1.409868483899874,1.1032988989540298,-0.8580621839429705,-0.9045884623533326,-0.001379830553133704,0.20050873437991087,-1.1147320379150403,0.8924897330905877,-1.4113713885503347,-1.3958219218660584,0.0011035868714721832,0.05108204271258026,-0.34628174789519284,0.27183303102009954,-2.6234543242049635,-2.5832711542138322
23,-1.453196697848481,0.3583879449310276,-1.767783449784603,-0.6809947742475058,-0.398966003752393,0.28193442431253374,0.011664171306733341,0.14906725908491075,-0.26892881333841817,0.26994397350522625,-1.4893470349129294,-1.8217913811211788,0.011199593119501718,0.10711946420021919,-0.1316694131125174,0.2456282212287369,-1.8132785453328666,-2.0005533967655866,0.010735296256407892,0.6232980590285374,-0.9933814007000673,1.0232423689491719,-0.23208718804154033,-0.4535291596281525,-0.022326018850564327,0.4998992118450928,-0.909431983953762,1.0414177668017395,-0.41585506365005753,-0.6129359033535559,-0.004667594285100785,0.31678876946359796,-1.0507909087502958,0.798089697750535,-0.9423008263807544,-0.9986498034056192,0.017136615111607103,0.287434897349205,-1.1657076138196745,0.9396173842751911,-1.0525742503143405,-1.0815103490879794,-0.002132741992420561,0.18538763512517561,-0.9753291102611199,0.7945017235857434,-1.5042256516306771,-1.4638308311669923,0.0009054620586999181,0.04403755277841432,-0.23342464440676458,0.28662136293918106,-2.78093588913225,-2.712328309314097
24,-2.4838057687955204,1.21166211198331,-4.438896123552764,-0.35902940883047346,0.16897311128570014,0.7659994281649257,-0.04880756661256871,0.4662087847865193,-0.7236972598678059,0.7101922688056406,-0.509539231208583,-0.8126593077886842,-0.17728275255695677,1.3566114969954919,-2.510322641856453,2.305479077278803,0.42141252158111986,0.15505247230812136,0.003988320251638141,1.5859944361220546,-1.9634964823059093,3.023325582881279,0.39588573869091553,0.3724372142220466,0.06562495071618053,0.938492468697457,-1.7167131576012882,2.5721270783340495,0.026890209941991778,-0.06464712097439572,0.048643538132757895,0.5087555806492351,-1.4108172404400667,0.9943139825133991,-0.5651668262637927,-0.5830702678386298,-0.003455215247842176,0.32166684175671734,-1.4651528640008873,1.1667897416597495,-0.9611966834043706,-0.9851401503424472,0.004336383774487716,0.19490635668339382,-1.27715094446403,0.7941025935960639,-1.4395448490226612,-1.4201410784068222,-0.0009896729124643567,0.09969546829241478,-0.718392734011015,0.604450044250635,-2.1064638758067815,-2.0026112346605824
25,-1.5172310439683172,0.23258513209798992,-1.8729779196012284,-1.1461777821811865,-0.5852134526880831,0.3182918405621336,-0.018442141971427895,0.19303340499960525,-0.321158838610627,0.37697572035106647,-1.2524575266588671,-1.6317811947166267,0.017132402022866804,0.34551890507814415,-0.571077223162823,0.5020203625311912,-0.8261795329005214,-1.0208884662123803,-0.024146252658626237,0.5215071874697932,-0.8784812326741753,1.0151985999273616,-0.4339047576927409,-0.6237593020324523,0.011890198010889861,0.3712575141595176,-0.8047264557126492,0.6930034154403659,-0.7574894979463301,-0.8892628922052214,0.03196328753021565,0.31741070125818427,-0.9651072286254218,0.8036460506623518,-0.9283318382141276,-0.9931117702438558,0.031811361792776285,0.24724089884381673,-1.0128512983169047,0.8962825749233226,-1.1745941855880302,-1.2067150400151097,-0.0034334202260772797,0.18988529483130917,-1.1561848368851724,0.7040563656633813,-1.553451263130789,-1.4428827322752862,-0.0015247268805784993,0.08134861150472841,-0.6800955755188632,0.5511875102194994,-2.162098088403453,-2.179175774670009
26,-1.481493019620473,0.1869754561776534,-1.6196236605883034,-0.9516947652995403,-0.7924263439372686,0.2926175418172163,-0.015670295773345916,0.12915949867956372,-0.2902257804182729,0.22364355462029908,-1.7272268073402393,-1.9116479437024034,0.02902759308482508,0.10424235118644722,-0.18712647304534874,0.18904376786461155,-1.7771087893075468,-2.0267397889745924,-0.015261734548269363,0.08991228138611979,-0.17415949005464823,0.14955605137853445,-2.084456416227115,-2.0829644538693985,0.004838063895999273,0.08549784837553526,-0.1563712153673878,0.22990610630884178,-2.0230245988890214,-2.1412552935944698,0.0074548290955936515,0.1391254586629576,-0.37833095219310126,0.4364918892542296,-1.6836128989457342,-1.7635703535561709,-0.005008414315234323,0.1926205607604945,-0.9281459137425311,0.7487113709901704,-1.428079599683016,-1.4493056227051273,0.0031229091494193303,0.13210588422407926,-0.867274465660088,0.6225864612305686,-1.766072240780708,-1.7579193179804076,0.0008799762707053224,0.042182221003268024,-0.18591167261030597,0.3608305844313861,-2.764473039407964,-2.7496052560200135
27,-1.015534130491576,1.091633915838234,-3.2059480856904923,0.7968524854343206,-0.05457399816556295,0.09021439770271242,0.034475121076449594,0.6321000862581186,-1.0811817699099504,1.3973820979903604,-0.24250834764172605,-0.5701075650533244,0.0045852890110759555,0.2542197001555796,-0.5809627246287871,0.5610971423886252,-1.091890778824207,-1.2414344307056648,0.04193913398390903,0.7492851380127948,-1.1433050690090765,1.2991055479467621,-0.025309666711259966,-0.2918444019349586,0.006053580722898136,0.8910699818115541,-1.7418451896735792,1.7992244318520387,0.11461180272774336,-0.10125950788907309,0.0215006152249093,1.0454690476698518,-2.1365021831455593,3.3729685216039007,0.07906675994288825,0.038106366391330145,0.0240799744723941,0.8645716918243775,-2.65628396376508,3.5267015686671614,-0.1104985351611174,-0.12644143109185874,0.0037464974822240893,0.5506433831454217,-2.3244113815286562,2.630736517876495,-0.5763568829180511,-0.5182543403714918,0.001799309522652616,0.11651270835546067,-0.8057534361640618,0.5995202259566283,-1.8854996030323827,-1.8671550556902876
28,-0.8696768133088159,0.5216061150784859,-1.7831715860803088,-0.21345969145907204,-0.02312823014245408,-0.13595723401900314,-0.038678881714571886,0.48426513090810863,-0.8181378331603145,0.8046723044897558,-0.40840865449757713,-0.757611247824995,-0.036399834512618426,0.17690525061547369,-0.5677171701900364,0.17756710730571443,-1.4247624039341216,-1.489513588710447,-0.014066465501980622,0.3434494581982253,-0.5934792913147995,0.6597357420867452,-0.695567580599093,-0.9947332085135401,-0.0018638586957599903,0.39673540805814217,-0.5335407661402797,0.7939183815708732,-0.5796572497052171,-0.8103024752372823,0.05133155865560627,0.38229280008761696,-0.730200493640798,1.0752290780808005,-0.7070617111382487,-0.832627247885131,-0.04053737296719264,0.4333765355111397,-1.598399181002698,1.7337475707016419,-0.7253296371262434,-0.7225503708639615,0.0023487408439007832,0.3129049124704821,-1.6611898661261784,1.3128522026186848,-1.0278005616827608,-1.009152162655928,0.0002854252585179299,0.08383207443192861,-0.42736637821855206,0.4163503712374199,-2.246107606765746,-2.1531860998543277
29,0.8324337817296044,1.6391321062862172,-1.6175975437208785,2.8941446788881717,0.18715513370802278,0.49553869621621244,0.031564037539375915,0.22232271970489764,-0.2944193053748018,0.5566140143224533,-1.3157523651553797,-1.33045069341146,-0.005151116365067564,0.18987968409119838,-0.3358363061282163,0.46340963960047465,-1.3805066636706447,-1.4814785941251731,0.010229271490949625,0.34278458664712713,-0.5703274771070628,0.6415920623209369,-0.8042677342571005,-0.9948574172394649,-0.00778578993089305,0.3828459016826768,-0.8753215964355725,0.7314531210016033,-0.7110855931445185,-0.8512150278694816,0.04004644187000947,0.4154081526717995,-0.7678913690970826,1.3698627622112136,-0.6720999762506507,-0.763793033197312,0.03242502569846965,0.3643137835684917,-1.229154745642064,1.9091920130251854,-0.8318957262956151,-0.8740110638784429,-0.010897539915386098,0.34142025420223826,-1.7216031743300275,1.8029482196313944,-0.9542113367342857,-0.9329799131287527,-0.0005819235601295488,0.08866320077487051,-0.7220295236153207,0.40580112035662186,-2.1749363304120752,-2.1045009031532182
